publication_name,iso_source_abbreviation
LECTURE NOTES IN NETWORKS AND SYSTEMS,LECT NOTES NETWORKS SYST
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,TECHNOL FORECAST SOC CHANGE
JOURNAL OF BUSINESS RESEARCH,J BUS RES
EAISPRINGER INNOVATIONS IN COMMUNICATION AND COMPUTING,EAI/SPRINGER INNO COMM COMP
LECTURE NOTES IN NETWORKS AND SYSTEMS,LECT NOTES NETWORKS SYST
LECTURE NOTES IN NETWORKS AND SYSTEMS,LECT NOTES NETWORKS SYST
LECTURE NOTES IN NETWORKS AND SYSTEMS,LECT NOTES NETWORKS SYST
PERTANIKA JOURNAL OF SOCIAL SCIENCES AND HUMANITIES,PERTANIKA J SOC SCI HUMANIT
REVISTA ESPANOLA DE LA TRANSPARENCIA,REV ESP TRANS
FINANCIAL INNOVATION,FINANCIAL INNOV
JOURNAL OF BEHAVIORAL AND EXPERIMENTAL FINANCE,J BEHAV EXP FINANC
TELEMATICS AND INFORMATICS,TELEMATICS INF
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,TECHNOL FORECAST SOC CHANGE
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,IEEE TRANS ENG MANAGE
FINANCIAL INNOVATION,FINANCIAL INNOV
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INF MANAGE
RENEWABLE ENERGY,RENEW ENERGY
FINANCIAL INNOVATION,FINANCIAL INNOV
RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,RES INT BUS FINANC
FINANCIAL INNOVATION,FINANCIAL INNOV
FINANCIAL INNOVATION,FINANCIAL INNOV
RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,RES INT BUS FINANC
FINANCIAL INNOVATION,FINANCIAL INNOV
FINANCIAL INNOVATION,FINANCIAL INNOV
FINANCIAL INNOVATION,FINANCIAL INNOV
ECONOMIC MODELLING,ECON MODEL
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON
JOURNAL OF DEVELOPMENT ECONOMICS,J DEV ECON
INDUSTRIAL MANAGEMENT AND DATA SYSTEMS,IND MANAGE DATA SYS
REVIEW OF FINANCIAL STUDIES,REV FINANC STUD
INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS IN THE SERVICE SECTOR,INT J INF SYST SERV SECT
INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,INT REV FINANC ANAL
APPLIED GEOGRAPHY,APPL GEOGR
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,TECHNOL FORECAST SOC CHANGE
INTERNATIONAL JOURNAL OF FORECASTING,INT J FORECAST
JOURNAL OF BUSINESS ECONOMICS,J BUS ECON
BRITISH JOURNAL OF MANAGEMENT,BR J MANAGE
SMALL BUSINESS ECONOMICS,SMALL BUS ECON
2021 11TH INTERNATIONAL CONFERENCE ON ADVANCED COMPUTER INFORMATION TECHNOLOGIES ACIT 2021  PROCEEDINGS,"INT CONF ADV COMPUT INF TECHNOL, ACIT - PROC"
CHINA QUARTERLY,CHINA Q
ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS,ELECT COMMER RES APPL
UNIVERSITY OF NEW SOUTH WALES LAW JOURNAL,UNIV NEW SOUTH WALES LAW J
JOURNAL OF OPEN INNOVATION TECHNOLOGY MARKET AND COMPLEXITY,J OPEN INNOV: TECHNOL MARK COMPLEX
EUROPEAN BUSINESS ORGANIZATION LAW REVIEW,EUR BUS ORG LAW REV
MANAGEMENT SCIENCE,MANAGE SCI
EMPIRICAL SOFTWARE ENGINEERING,EMPIR SOFTWARE ENG
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ENG APPL ARTIF INTELL
JOURNAL OF EMPIRICAL FINANCE,J EMPIR FINANC
FINANCIAL MANAGEMENT,FINANC MANAGE
MANCHESTER SCHOOL,MANCHESTER SCH
BUSINESS THEORY AND PRACTICE,BUS THEORY PRACT
PROCEEDINGS OF 2021 INTERNATIONAL CONFERENCE ON INFORMATION MANAGEMENT AND TECHNOLOGY ICIMTECH 2021,"PROC INT CONF INF MANAG TECHNOL, ICIMTECH"
PROCEEDINGS OF 2021 INTERNATIONAL CONFERENCE ON INFORMATION MANAGEMENT AND TECHNOLOGY ICIMTECH 2021,"PROC INT CONF INF MANAG TECHNOL, ICIMTECH"
IOP CONFERENCE SERIES EARTH AND ENVIRONMENTAL SCIENCE,IOP CONF SER EARTH ENVIRON SCI
HELIYON,HELIYON
INTERNATIONAL JOURNAL OF FINANCIAL STUDIES,INTERN J FINANCIAL STUD
JISUANJI YANJIU YU FAZHANCOMPUTER RESEARCH AND DEVELOPMENT,JISUANJI YANJIU YU FAZHAN
INTERNATIONAL JOURNAL OF DATA SCIENCE AND ANALYTICS,INT J DATA SCI ANAL
SUSTAINABILITY SWITZERLAND,SUSTAINABILITY
APPLIED SCIENCES SWITZERLAND,APPL SCI
SUSTAINABILITY SWITZERLAND,SUSTAINABILITY
JOURNAL OF THEORETICAL AND APPLIED ELECTRONIC COMMERCE RESEARCH,J THEOR APPL ELECTRON COMMER RES
INTERNATIONAL JOURNAL OF DATA SCIENCE AND ANALYTICS,INT J DATA SCI ANAL
JOURNAL OF THEORETICAL AND APPLIED ELECTRONIC COMMERCE RESEARCH,J THEOR APPL ELECTRON COMMER RES
PROGRESS IN HUMAN GEOGRAPHY,PROG HUM GEOGR
PROGRESS IN HUMAN GEOGRAPHY,PROG HUM GEOGR
SMALL BUSINESS ECONOMICS,SMALL BUS ECON
LEX LOCALIS,LEX LOCALIS
FINTECH ARTIFICIAL INTELLIGENCE AND THE LAW REGULATION AND CRIME PREVENTION,"FINTECH, ARTIF INTELL AND THE LAW: REGUL AND CRIME PREV"
FINTECH ARTIFICIAL INTELLIGENCE AND THE LAW REGULATION AND CRIME PREVENTION,"FINTECH, ARTIF INTELL AND THE LAW: REGUL AND CRIME PREV"
FINTECH ARTIFICIAL INTELLIGENCE AND THE LAW REGULATION AND CRIME PREVENTION,"FINTECH, ARTIF INTELL AND THE LAW: REGUL AND CRIME PREV"
FINTECH ARTIFICIAL INTELLIGENCE AND THE LAW REGULATION AND CRIME PREVENTION,"FINTECH, ARTIF INTELL AND THE LAW: REGUL AND CRIME PREV"
COMPUTER NETWORKS,COMPUT NETWORKS
SUSTAINABILITY SWITZERLAND,SUSTAINABILITY
CHINA AND WORLD ECONOMY,CHINA WORLD ECON
ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS,ELECT COMMER RES APPL
ENVIRONMENTAL SCIENCE AND ECOTECHNOLOGY,ENVIRON SCI ECOTECHNOL
STRATEGIC CHANGE,STRATEG CHANGE
SUSTAINABILITY SWITZERLAND,SUSTAINABILITY
JOURNAL OF INTERNATIONAL FINANCIAL MARKETS INSTITUTIONS AND MONEY,J INT FINANC MARK INST MONEY
JOURNAL OF SOFTWARE EVOLUTION AND PROCESS,J SOFTW EVOL PROCESS
NORTH AMERICAN JOURNAL OF ECONOMICS AND FINANCE,NORTH AM J ECON FINANC
ENERGY POLICY,ENERGY POLICY
INTERNATIONAL REVIEW OF ECONOMICS AND FINANCE,INT REV ECON FINANC
INFORMATION SYSTEMS JOURNAL,INF SYST J
JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,J COMPUT APPL MATH
FINANCE RESEARCH LETTERS,FINAN RES LETT
ICAICST 2021  2021 INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND COMPUTER SCIENCE TECHNOLOGY,ICAICST - INT CONF ARTIF INTELL COMPUT SCI TECHNOL
JOURNAL OF PHYSICS CONFERENCE SERIES,J PHYS CONF SER
IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES CISTI,"IBERIAN CONF INF SYST TECHNOL, CISTI"
E3S WEB OF CONFERENCES,E3S WEB CONF
THE ROUTLEDGE HANDBOOK OF FINTECH,THE ROUT HANDB OF FINTECH
THE ROUTLEDGE HANDBOOK OF FINTECH,THE ROUT HANDB OF FINTECH
THE ROUTLEDGE HANDBOOK OF FINTECH,THE ROUT HANDB OF FINTECH
THE ROUTLEDGE HANDBOOK OF FINTECH,THE ROUT HANDB OF FINTECH
THE ROUTLEDGE HANDBOOK OF FINTECH,THE ROUT HANDB OF FINTECH
THE ROUTLEDGE HANDBOOK OF FINTECH,THE ROUT HANDB OF FINTECH
THE ROUTLEDGE HANDBOOK OF FINTECH,THE ROUT HANDB OF FINTECH
ELECTRONICS SWITZERLAND,ELECTRONICS (SWITZERLAND)
MIS QUARTERLY MANAGEMENT INFORMATION SYSTEMS,MIS QUART MANAGE INF SYST
ZBORNIK RADOVA EKONOMSKOG FAKULTET AU RIJECI,ZBORNIK RADOVA EKONOMSKOG FAKULTET AU RIJECI
SOCIETY,SOCIETY
SUSTAINABILITY SWITZERLAND,SUSTAINABILITY
JOURNAL OF OPEN INNOVATION TECHNOLOGY MARKET AND COMPLEXITY,J OPEN INNOV: TECHNOL MARK COMPLEX
PACIFIC BASIN FINANCE JOURNAL,PAC BASIN FINANC J
PROGRESS IN HUMAN GEOGRAPHY,PROG HUM GEOGR
GEOFORUM,GEOFORUM
JOURNAL OF CORPORATE FINANCE,J CORP FINANC
JOURNAL OF CORPORATE FINANCE,J CORP FINANC
JOURNAL OF EMPIRICAL FINANCE,J EMPIR FINANC
JOURNAL OF EMPIRICAL FINANCE,J EMPIR FINANC
MICROPROCESSORS AND MICROSYSTEMS,MICROPROCESSORS MICROSYST
JOURNAL OF BUSINESS VENTURING INSIGHTS,J BUS VENTUR INSIGHTS
PROGRESS IN HUMAN GEOGRAPHY,PROG HUM GEOGR
JOURNAL OF CONSUMER AFFAIRS,J CONSUM AFF
