"pat","repl"
"&"," and "
" aandm "," a and m "
" UNAM,"," Univ N Autonoma de Mexico,"
"Academia","Acad"
"Academy","Acad"
"Agencia","AG"
"Agency","AG"
"Asociacion","Asoc"
"Association","Assn"
"Banco","B"
"Bank","B"
"Business","Bus"
"Center","ctr"
"Centre","ctr"
"Centro","Ctr"
"College","Coll"
"Comision","Com"
"Commission","Com"
"Company","Co"
"Concejo","conc"
"Concilio","Counc"
"Consorcio","Ponsor"
"Consortium","Consor"
"Corporacion","Corp"
"Corporation","Corp"
"Council","Counc"
"Economic","Econ"
"Economics","Econ"
"Engineering","Eng"
"Finance","Finan"
"Fundacion","Fund"
"Fundation","Found"
"Gobierno","Gob"
"Goverment","Gov"
"Hospital","Hosp"
"Institute","Inst"
"Institutes","Inst"
"Management","Manag"
"Ministerio","Min"
"Ministry","Min"
"Nacional","N"
"National","N"
"Office","Off"
"Oficina","Off"
"Organizacion","Org"
"Organization","Org"
"Politec","Politec"
"Politecnico","Politec"
"Polytechnic","Politec"
"Research","Res"
"School","Sch"
"Sociedad","Soc"
"Society","Soc"
"Technology","Technol"
"The University of ","Univ of "
"U de "," Univ de "
"Universidad","Univ"
"Universidade","Univ"
"Universita","Univ"
"Universite","Univ"
"Universiteit","Univ"
"Universiti","Univ"
"University","Univ"
"Univerza","Univ"
"Unversitat","Univ"
